Word,Frequency
españa,3469
gobierno,3439
año,2595
madrid,2508
español,2039
seguir,2036
sánchez,1897
país,1451
dejar,1429
gracias,1412
querer,1390
público,1346
mujer,1318
persona,1288
vida,1234
pp,1225
ley,1185
ver,1169
poder,1140
gracia,1125
derecho,1117
pedir,1051
estar,1047
libertad,1040
pasar,1021
social,1019
haber,1012
hablar,1005
volver,991
tener,974
gente,967
millón,959
político,946
defender,937
llegar,920
decir,905
familia,899
salir,899
política,899
elgatoalagua,874
poner,833
mundo,809
pueblo,800
directo,799
partido,792
esperar,789
pandemia,789
hacer,786
vivir,780
vox,778
deber,766
apoyo,764
vía,764
acabar,759
mañana,745
frente,739
quedar,733
luz,732
violencia,727
psoe,700
periodista,698
historia,694
semana,676
venir,675
presidente,669
perder,656
futuro,655
izquierda,653
democracia,650
mes,649
digital,647
andalucía,643
pagar,637
impuesto,635
comunidad,631
necesitar,630
dar,630
problema,630
precio,627
casa,601
empresa,599
económico,581
feliz,577
empezar,576
sociedad,574
derecha,572
dinero,559
crisis,559
leer,558
ciudad,551
programa,545
llevar,544
entender,539
ganar,538
medio,534
europa,529
votar,526
cambio,525
creer,524
medida,524
nacional,512
salud,509
ir,504
caso,503
plan,501
proyecto,497
importante,495
enhorabuena,494
calle,491
contar,490
cumplir,490
llamar,481
justicia,481
trabajador,479
on,478
servicio,475
lucha,471
abrazo,469
entrevista,467
per,465
pensar,463
madrileño,460
víctima,459
forma,459
único,456
situación,455
eu,455
recordar,454
recibir,451
hombre,450
permitir,450
noche,450
ayuso,450
campaña,448
euros,446
apoyar,446
elección,443
europeo,442
avanzar,434
sistema,431
compromiso,428
sanitario,428
recuperación,423
ministro,419
vacuna,418
centro,416
explicar,414
subir,413
with,413
economía,411
vídeo,406
real,404
realidad,400
presentar,399
for,399
fondo,398
joven,398
amigo,395
sanidad,395
ciudadano,394
niño,394
feminista,392
gustar,390
vecino,389
solidaridad,389
celebrar,388
cambiar,387
artículo,385
internacional,382
afganistán,381
sufrir,381
seguridad,380
ue,377
mano,376
menor,374
fuerza,373
histórico,372
congreso,368
trabajar,367
hijo,365
cultura,365
aprobar,364
equipo,363
favor,362
noticia,360
necesario,359
mantener,359
bajar,358
ayuda,356
firmar,356
juez,356
cataluña,354
seguro,354
ser,353
ayudar,352
sector,352
indulto,350
abrir,349
luchar,347
completo,346
compartir,344
garantizar,342
mil,341
recuperar,340
vacunación,339
igualdad,338
gobernar,337
andaluz,336
tuit,336
tomar,336
we,334
odio,332
proteger,330
acto,329
dato,328
galicia,327
paso,327
pedro,326
buscar,324
covid,324
sacar,323
demostrar,323
exigir,323
unidad,322
mayoría,321
camino,321
comenzar,319
rey,319
barcelona,319
palabra,319
interés,318
mirar,318
pablo,318
is,318
opinión,315
venezuela,314
mercado,314
junto,313
construir,312
responsabilidad,312
orgullo,311
entrar,311
libre,310
debate,307
sentir,307
objetivo,306
crear,303
defensa,302
gestión,302
recurso,301
policía,299
fuerte,299
alguien,298
escuchar,298
merecer,298
justo,297
socialista,297
mejorar,296
machista,296
falta,294
autónomo,293
libro,292
viva,290
institución,288
memoria,287
padre,287
género,286
denunciar,286
guerra,285
educación,284
saber,284
oportunidad,283
madre,283
cosa,282
mensaje,280
esfuerzo,280
alto,279
encontrar,277
voto,277
foto,276
idea,276
grupo,276
tipo,275
privado,275
pleno,274
convertir,274
cariño,273
lograr,273
ayuntamiento,272
especial,270
conocer,269
caer,268
pensión,266
