Word,Frequency
y,15940
a,15006
España,1834
o,1259
año,1178
Madrid,1149
Gobierno,1099
seguir,1087
español,1033
the,934
Sánchez,878
gracias,836
to,771
dejar,739
país,702
querer,673
e,669
vida,662
and,645
mujer,639
poder,628
público,626
persona,621
ver,567
i,566
PP,556
estar,554
gobierno,531
derecho,513
of,506
haber,502
tener,495
hablar,492
defender,492
gente,480
pedir,472
volver,471
familia,468
pasar,460
llegar,448
político,432
apoyo,426
salir,426
política,425
decir,425
social,422
libertad,421
poner,412
vivir,412
millón,401
mundo,400
in,400
hacer,392
ley,388
mañana,383
gracia,382
pueblo,381
esperar,381
acabar,374
frente,366
deber,360
quedar,359
violencia,355
problema,354
luz,350
pandemia,349
impuesto,345
precio,341
Andalucía,341
venir,341
necesitar,338
directo,336
partido,328
democracia,322
feliz,318
futuro,317
pagar,316
derecha,304
ganar,303
dar,301
sociedad,299
historia,299
mes,294
proyecto,293
empezar,290
EU,287
on,285
PSOE,281
ciudad,281
económico,281
lucha,279
per,271
presidente,270
izquierda,268
cumplir,265
llevar,264
cambio,263
importante,262
semana,261
casa,260
Europa,260
servicio,259
empresa,259
with,257
calle,257
trabajador,257
entender,253
avanzar,248
Afganistán,247
for,247
entrevista,245
ir,245
abrazo,243
crisis,242
perder,242
votar,241
recordar,241
apoyar,240
permitir,239
medio,239
compromiso,237
creer,235
medida,235
único,232
campaña,230
dinero,227
contar,225
pensar,224
forma,223
situación,220
madrileño,220
sistema,216
A,215
recuperación,214
elección,214
vídeo,213
recibir,210
hombre,209
solidaridad,208
equipo,208
llamar,206
ayudar,205
salud,205
artículo,205
sanitario,203
trabajar,201
caso,201
explicar,200
víctima,200
Galicia,199
enhorabuena,197
sufrir,195
realidad,194
leer,194
feminista,194
mano,194
Y,193
indulto,193
subir,192
niño,190
celebrar,190
compartir,189
machista,187
construir,187
necesario,186
histórico,185
animal,185
unidad,184
presentar,183
UE,180
joven,180
colaborar,179
is,179
amigo,178
vecino,178
recuperar,178
proteger,177
odio,176
bajar,175
Congreso,175
andaluz,175
economía,175
luchar,174
tomar,174
sector,174
VOX,174
interés,174
acto,172
garantizar,172
cultura,172
exigir,172
ser,172
oportunidad,171
vía,171
mil,171
noticia,171
europeo,171
centro,170
cambiar,170
Venezuela,168
seguro,168
vacunación,168
justicia,168
paso,167
M,166
gustar,166
objetivo,166
hijo,166
aprobar,166
ciudadano,165
mantener,165
internacional,164
juez,164
gobernar,163
mirar,163
fuerza,163
buscar,161
libre,161
cariño,160
mercado,160
palabra,159
merecer,158
orgullo,158
mensaje,158
demostrar,158
abrir,158
disfrutar,158
nacional,157
favor,157
Ley,157
ayuda,154
entrar,154
Comunidad,153
mejorar,153
esfuerzo,153
camino,152
crear,152
fuerte,151
amp,150
escuchar,150
idea,150
recurso,150
fondo,150
comunidad,149
institución,149
compañero,148
Barcelona,148
sentir,148
participar,147
encontrar,147
elegir,146
querido,146
dato,146
mayoría,145
vacuna,145
factura,145
barrio,143
we,143
solución,142
defensa,142
Ayuso,141
energía,141
sacar,141
orgulloso,140
libro,140
alguien,140
euros,140
Cataluña,139
noche,139
Pedro,139
memoria,138
petición,138
cosa,137
justo,137
saber,137
responsabilidad,137
seguridad,136
our,136
Pablo,135
ministro,134
asesinato,134
tanto,134
plan,134
pensión,133
menor,133
junto,132
agradecer,132
conocer,131
olvidar,131
falta,130
convertir,130
cuidar,129
verano,129
igualdad,129
programa,128
propuesta,128
espacio,127
FIRMA,127
honor,126
Cuba,126
gestión,126
autónomo,126
amb,126
completo,125
vivienda,125
reconocer,125
tierra,125
profesional,124
debate,123
m,123
tema,123
alto,122
mayo,122
climático,121
el,121
especial,121
firmar,121
difícil,121
colectivo,121
caer,120
visitar,120
foto,120
evitar,119
lograr,119
Constitución,118
padre,118
democrático,118
servir,118
santuario,118
proponer,118
extremo,118
Patria,117
clase,117
fiscal,117
subida,116
punto,116
nombre,116
jugar,116
tipo,116
voto,115
reducir,115
The,115
género,114
privado,114
Vox,114
máximo,114
denunciar,114
obra,114
generar,113
muerte,113
mandar,113
común,113
escribir,112
negar,112
mejor,112
Ceuta,111
do,111
real,111
crecer,111
necesidad,110
periodista,110
importar,110
comenzar,110
población,110
José,110
medalla,110
homenaje,110
educación,109
paro,109
impulsar,109
reforma,109
faltar,109
modelo,109
esperanza,108
grande,108
Viva,108
atacar,108
Gracias,108
miedo,108
fundamental,108
personal,107
comprar,107
éxito,106
Casado,106
reparto,106
discurso,106
tocar,106
humano,106
Ayuntamiento,106
respuesta,106
beneficio,105
beso,105
unir,105
Juan,105
LaEspañaQueHacemos,104
fascismo,104
grupo,104
zona,104
placer,104
intervención,104
matar,104
decisión,103
pretender,103
enorme,103
clave,102
razón,102
red,102
salvar,101
atención,100
sentido,100
reto,100
as,100
cara,99
madre,99
decidir,99
global,99
pleno,99
mentira,99
Kabul,99
valor,98
aumentar,98
minuto,98
Tribunal,98
sanidad,98
mínimo,98
oposición,98
calidad,98
producto,98
Nacional,97
agenda,97
labor,97
et,96
cerrar,96
dictadura,96
mostrar,96
my,96
aceptar,96
reconocimiento,96
paz,96
nivel,96
cumpleaños,96
maravilloso,95
apostar,95
gasto,95
utilizar,95
momento,95
malo,95
echar,95
policía,94
victoria,94
cuestión,94
ofrecer,94
deporte,94
morir,94
laboral,94
marcha,94
corazón,93
superar,93
EEUU,93
formar,93
respeto,93
diálogo,93
canal,93
feminismo,93
suerte,92
LGTBI,92
Justicia,92
comer,92
San,92
representar,92
récord,92
responder,91
mayor,91
valer,91
hora,91
resto,91
sumar,91
inmigrante,91
tuit,91
catalán,91
bandera,90
més,90
digno,90
alternativa,90
capacidad,90
proceso,89
valiente,89
salario,89
talibán,89
compañera,89
jornada,89
reunión,89
culpa,89
niña,88
alcanzar,88
suponer,88
socialista,88
frenar,88
inversión,88
funcionar,88
control,88
cobrar,87
verde,87
cultural,87
electoral,87
fascista,87
condición,87
domingo,87
afgano,87
will,87
eléctrico,86
és,86
información,85
aborto,85
Libertad,85
responsable,85
asesinado,85
Covid,85
condenar,84
twitcheada,84
asesinar,84
frontera,83
especialmente,83
Carlos,83
ánimo,83
caro,83
ataque,83
traer,82
comunista,82
sostenible,82
terminar,82
acción,82
atrás,82
criticar,82
falso,82
opinión,81
generación,81
alegría,81
be,81
necesitado,81
Moncloa,81
digital,81
familiar,81
agosto,81
ilegal,81
delito,81
reforzar,81
Consejo,80
relación,80
preguntar,80
desear,80
base,80
virus,80
líder,80
are,79
década,79
hilo,79
meter,79
capaz,79
conseguir,79
allá,79
turismo,79
capital,79
rico,79
Iglesias,79
nacer,79
sede,79
imagen,78
prueba,78
dosis,78
alquiler,78
producir,78
consecuencia,78
Pueblo,77
hacer él,77
gana,77
curso,77
protección,77
golpe,77
oro,77
costar,77
prioridad,77
presente,77
vencer,77
enlace,77
g,77
amor,77
parecer,77
actuar,76
guerra,76
viernes,76
unido,76
tarifa,76
motivo,76
coste,76
by,76
Marruecos,76
duda,76
régimen,76
deuda,75
Plan,75
golpista,75
vacunar,75
mentir,74
encuentro,74
continuar,74
cárcel,74
vergüenza,74
romper,74
planeta,74
aprender,74
soberanía,74
agua,74
retirar,74
viva,74
I,74
Rey,74
señor,74
dignidad,74
principio,73
respetar,73
papel,73
financiar,73
Partido,73
anunciar,73
afectar,73
civil,73
alcalde,72
lleno,72
efecto,72
bonito,72
amenaza,72
urgente,72
voz,72
imponer,72
fácil,72
mierda,72
mesa,72
eléctrica,72
support,72
puerta,71
imprescindible,71
acompañar,71
pequeño,71
condena,71
Constitucional,71
consumo,71
muerto,70
trans,70
robar,70
actual,70
experiencia,70
terrorista,70
preocupar,70
dar él,70
grave,70
afectado,70
bloquear,70
ETA,70
terrible,69
aportar,69
ver él,69
