User,Tokenized,Left
@PODEMOS, calidad democracia medir capacidad sociedad defender derecho persona difícil acceso derecho orgullodepaís,1
@PODEMOS, importante persona lgtbi llevar año poner cuerpo poner vida gobierno coalición ministerio igualdad reconocer derecho corresponder orgullodepaís,1
@PODEMOS, poder solicitar cheque ayuda familia bajo ingreso necesitar dni bancario solicitud online compartir necesitar,1
@PODEMOS, único opinión interesante martín villa país frente tribunal juzgar crimen lesa humanidad derecha español compartir opinión alguien demostrar falta valor democrático,1
@PODEMOS, arma comer,1
@PODEMOS, reconocimiento legal derecho persona trans país llevar defender tribunal constitucional fallo importante derecho constitucional,1
@PODEMOS, feijóo señor moderado reacción audio cospedal villarejo,1
@PODEMOS, peli scorsese cloaca mafioso pp,1
@PODEMOS, pp utilizar institución perseguir adversario político tapar corrupción colaboración judicial determinado medio comunicación intoxicar opinión público cloacascontrapodemos,1
@PODEMOS, demostrar audio conocer cloacascontrapodemos,1
@PODEMOS, diferencia pp,1
@PODEMOS, feijóo responder,1
@PODEMOS, pregunta,1
@PODEMOS, cerrar armario centro aguantar burla rumor humillación,1
@PODEMOS, pp expresión estructura corrupto mafioso entender país cortijo hacer hacer falta gobernar pp volver adn corromper,1
@PODEMOS, problema pp partido criminal problema mayoría medio difundir basura falso,1
@PODEMOS, blindar derecho colectivo lgtbi blindar comer imprescindible palabra,1
@PODEMOS, organización criminal moderado,1
@PODEMOS, audio deber avergonzar españa entero afectar democracia poder político policial mediático confabulado destruir partido gustar cloaca actúar,1
@PODEMOS, francia anunciar nacionalización principal compañía eléctrico frente crisis país partido seguir rechazar creación empresa público acabar mafia oligopolio eléctrico cuestión voluntad político,1
@PODEMOS, rey robar borbón exagerar,1
@PODEMOS, rey ejemplar imposible alguien vivir ley,1
@PODEMOS, felipe vi rey ejemplar episodio josé antonio martín pallín,1
@PODEMOS, caso residencia producir cambio fundamental humanizar garantizar prestación derecho flexible acorde preferencia persona mayor,1
@PODEMOS, pp ajo,1
@PODEMOS, arma medida valiente,1
@PODEMOS, reorientar rumbo gobierno recuperar ritmo medida avance social proteger familia inflación prioridad propuesta,1
@PODEMOS, acabar desigualdad condiciones futuro hijo hija apostar público verdaderamente igual libre,1
