Word,Frequency
y,4503
a,3956
the,981
to,743
and,622
españa,494
of,489
gobierno,467
in,381
mujer,342
año,329
país,305
seguir,293
o,292
eu,285
sánchez,276
on,270
with,254
dejar,249
for,235
derecho,228
público,225
persona,224
social,222
violencia,211
madrid,211
vida,203
español,200
precio,199
poder,198
pp,192
querer,186
we,182
is,172
luz,163
estar,162
animal,161
sociedad,159
impuesto,157
directo,156
millón,153
amp,141
haber,139
e,138
our,137
gracias,136
vivir,135
afganistán,134
ley,133
ver,132
política,131
tener,130
santuario,130
colaborar,129
deber,129
hablar,129
esperar,128
llegar,123
psoe,123
poner,122
gente,121
familia,121
feminista,119
político,116
machista,115
proyecto,112
democracia,111
libertad,110
laespañaquehacemos,110
frente,110
i,110
recuperación,110
historia,108
defender,106
decir,105
salir,105
acabar,104
artículo,104
problema,103
avanzar,102
apoyo,102
comunidad,102
crisis,100
entrevista,100
futuro,99
hacer,99
mes,99
necesitar,98
my,98
empresa,98
servicio,98
m,97
mercado,97
volver,96
vegan,95
forma,95
mañana,94
lucha,93
as,93
mundo,93
compromiso,92
venir,92
derecha,91
will,89
subir,89
global,88
pagar,88
justicia,87
vía,87
foreign,86
trabajador,85
igualdad,85
trabajar,84
vídeo,84
partido,82
presidente,82
vacunación,82
energía,82
pasar,81
pedir,81
et,81
today,81
quedar,81
mensaje,79
justo,79
be,78
perder,78
ue,77
cumplir,77
económico,77
europa,76
pensión,76
entender,76
are,74
bajar,74
cambio,74
dar,74
sistema,73
semana,73
by,72
situación,72
creer,72
víctima,72
proteger,72
recordar,72
enhorabuena,71
caso,71
garantizar,71
support,71
medida,70
libre,70
europeo,69
entrar,69
gracia,69
security,69
izquierda,69
kabul,69
all,68
subida,68
pandemia,68
ganar,68
género,67
construir,67
mayoría,66
necesario,66
pueblo,66
solidaridad,66
asesinato,66
afgano,66
new,66
institución,65
objetivo,65
importante,64
cambiar,64
idea,64
editoriallr,63
único,63
empezar,63
interés,63
ayuso,62
orgullo,62
that,62
pensar,62
euros,61
camino,61
contar,60
menor,60
explicar,60
ministro,60
internacional,60
llevar,60
ir,60
paso,60
completo,59
colectivo,59
it,59
digital,59
apoyar,58
vox,58
histórico,58
factura,58
at,58
autónomo,58
tomar,58
bitcoin,58
mano,57
población,57
luchar,57
producto,57
medalla,57
dinero,57
fiscal,57
alguien,56
ser,56
fuerza,56
casado,56
diseño,56
españaavanza,56
cariño,56
dato,56
civil,55
economía,55
mínimo,55
calle,54
compartir,54
gasto,54
casa,54
permitir,53
compañera,53
sufrir,53
comprar,53
clase,53
demostrar,52
people,52
