User,Tweet,Left
@PODEMOS,"('excusa', 'aplicar', 'medida', 'bajar', 'factura', 'luz', 'intervenir', 'mercado', 'frente', 'oligopolio', 'eléctrico', 'y', 'centro', 'interés', 'conjunto', 'ciudadanía')",1
@PODEMOS,"('pp', 'bloquear', 'renovación', 'judicial', 'e', 'incumplir', 'constitución', 'casado', 'explicación', 'trama', 'kitchen', 'seguiremos', 'pedir', 'comisión', 'investigación', 'corrupción', 'rey', 'declaración')",1
@PODEMOS,"('central', 'presupuesto', 'recuperación', 'social', 'y', 'reconstrucción', 'seguir', 'avanzar', 'país', 'poner', 'derecho', 'conjunto', 'ciudadanía', 'y', 'abordar', 'transición', 'ecológico', 'y', 'justo')",1
@PODEMOS,"('directo', 'rueda', 'prensa', 'y')",1
@PODEMOS,"('aliado', 'vox', 'texas', 'lograr', 'prohibir', 'y', 'perseguir', 'aborto', 'retroceso', 'histórico', 'mujer', 'españa', 'gobierno', 'garantizar', 'a', 'suceder', 'exactamente', 'contrario', 'seguir', 'ampliar', 'derecho', 'aborto')",1
@PODEMOS,"('tomar', 'medida', 'urgente', 'reducir', 'factura', 'luz', 'proponer', 'acabar', 'abuso', 'eléctrica')",1
@PODEMOS,"('mar', 'menor', 'ecosistema', 'completo', 'destrozado', 'espacio', 'familia', 'pasear', 'bañar tú', 'descansar', 'cargar', 'política', 'cuyo', 'único', 'objetivo', 'maximizar', 'beneficio', 'bienestar', 'mayoría')",1
@PODEMOS,"('repaso', 'historia', 'político', 'españa', 'entender', 'auge', 'extremo', 'derecha', 'peligro', 'suponer', 'gobierno', 'pp', 'y', 'vox', 'papel', 'izquierda', 'y', 'jugar', 'brillante')",1
@PODEMOS,"('problema', 'luz', 'gobierno', 'gente', 'frente', 'a', 'oligopolio', 'eléctrico', 'tener', 'enorme', 'beneficio', 'económico', 'y', 'estar', 'mano', 'factura', 'bajar', 'a', 'dejar', 'insistir')",1
@PODEMOS,"('gobierno', 'marcar', 'tomar', 'medida', 'garantizar', 'acceso', 'a', 'suministro', 'y', 'acabar', 'pobreza', 'energético', 'empresa', 'público', 'energía', 'condición', 'negociación', 'pge', 'entrevista', 'a')",1
@PODEMOS,"('dirigente', 'pp', 'galicia', 'condenado', 'prevaricación', 'y', 'fraude', 'iniciar', 'persecución', 'compañero', 'juego', 'sucio', 'utilizar', 'a', 'callar', 'lucha', 'corrupción', 'apoyo')",1
@PODEMOS,"('rey', 'deber', 'responder', 'acto', 'y', 'justicia', 'y', 'casa', 'real', 'deber', 'explicación', 'cierre', 'falso', 'caso', 'kitchen', 'comprometer', 'a', 'investigar', 'comisión', 'juez', 'decidir', 'investigar')",1
@PODEMOS,"('vamooos', 'doble', 'plata', 'españa', 'y', 'enhorabuena', 'iván', 'cano', 'y', 'adiaratou', 'iglesias', 'triunfo', 'bravísimos', 'paralympics')",1
