Nombre,Ocupación,Afiliación,Izda,Twitter
Unidas Podemos,Partido Político,Podemos,1,@PODEMOS
PSOE,Partido Político,PSOE,1,@PSOE
Izquierda Unida,Partido Político,IU,1,@IzquierdaUnida
Anticapitalistas,Partido Político,Anticapitalistas,1,@anticapi
Santuario Animal Almas veganas,Asociación,Santuario Animal Almas veganas,1,@AlmasVeganas
Pedro Sánchez,Político,PSOE,1,@sanchezcastejon
Carmen Calvo,Político,PSOE,1,@carmencalvo_
Josep Borrell,Político,PSOE,1,@JosepBorrellF
Pablo Iglesias,Político,Podemos,1,@PabloIglesias
Irene Montero,Político,Podemos,1,@IreneMontero
Pablo Echenique,Político,Podemos,1,@PabloEchenique
Íñigo Errejón,Político,Más país,1,@ierrejon
Juan Carlos Monedero,Político,Podemos,1,@MonederoJC
Manuela Carmena,Político,Más país,1,@ManuelaCarmena
Ada Colau,Político,Más país,1,@AdaColau
Tania Sánchez,Político,Más país,1,@TaniaSanchez_M
Teresa Rodríguez,Político,Podemos,1,@TeresaRodr_
Rita Maestre,Político,Más país,1,@AntonioMaestre
Alberto Garzón,Político,IU,1,@agarzon
Eduardo Garzón,Político,IU,1,@edugaresp
Roberto Vaquero,Político,Frente Obrero,1,@RobertoVaquero_
Hugo Chávez,Político,Partido Socialista Unido de Venezuela ,1,@chavezcandanga
Nicolás Maduro,Político,Partido Socialista Unido de Venezuela,1,@NicolasMaduro
Sánchez Gordillo,Político,CUT,1,@SanchezGordillo
Quique Peinado,Presentador,La Sexta,1,@quiquepeinado
Facu Díaz,Presentador,n/a,1,@FacuDiazT
Antonio Maestre,Periodista,elDiario.es,1,@AntonioMaestre
Ana Pastor García,Periodista,La Sexta,1,@_anapastor_
Alan Barroso,Youtuber,n/a,1,@AlanBarrosoA
El Cuellilargo,Youtuber,n/a,1,@cuellilargo
Masa Demócrata,Twitero,n/a,1,@masademocrata
Barbie Hijaputa,Twittera,n/a,1,@Barbijaputa
Dia Sexto,Rapero,n/a,1,@diasextoreturns
Pablo Hasel,Rapero,n/a,1,@PabloHasel
Nega,Rapero,Los Chikos del Maiz,1,@Nega_Maiz
Toni Mejías,Rapero,Los Chikos del Maiz,1,@ToniMejiasM
Irantzu Varela,Feminista,Diario Público,1,@IrantzuVarela
PP,Partido Politico,PP,0,@populares
VOX,Partido Politico,VOX,0,@vox_es
Falange Española Y de las JONS,Partido Politico,FEJONS,0,@fedelasjons
Hazte Oir,Asociación,Hazte Oir,0,@hazteoir
Hogar Social Madrid,Asociación,HSM,0,@HogarSocial_
Santiago Abascal,Politico,VOX,0,@Santi_ABASCAL
Ortega Smith,Politico,VOX,0,@Ortega_Smith
Iván Espinosa de los Monteros,Politico,VOX,0,@ivanedlm
Rocío Monasterio,Politico,VOX,0,@monasterioR
Rocio de Meer,Politico,VOX,0,@MeerRocio
Macarena Olona,Politico,VOX,0,@Macarena_Olona
Cayetana Alvarez de Toledo,Politico,PP,0,@cayetanaAT
Pablo Casado,Politico,PP,0,@pablocasado_
Andrea Levy,Politico,PP,0,@AlevySoler
Ana Pastor Julián,Politico,PP,0,@anapastorjulian
Mariano Rajoy,Politico,PP,0,@marianorajoy
Soraya Sáenz de Santamaría,Politico,PP,0,@sorayasds
Isabel Diaz Ayuso,Politico,PP,0,@IdiazAyuso
Juan Manuel Moreno,Politico,PP,0,@JuanMa_Moreno
Alberto Núñez Feijóo,Politico,PP,0,@FeijooGalicia
José Luis Martínez-Almeida,Politico,PP,0,@AlmeidaPP_
Manuel Andrino,Politico,FEJONS,0,@ManuelAndrino
Juan Ramón Rallo,Economista,n/a,0,@juanrallo
Daniel Lacalle,Economista,n/a,0,@dlacalle
Paco Marhuenda,Periodista,La Razón,0,@pacomarhuenda
Eduardo Inda,Periodista,OKDiario,0,@eduardoinda
Álvaro Ojeda,Periodista,OKDiario,0,@alvaroojeda80
Cake Minuesa,Presentador,n/a,0,@cakealatake
Libertad y lo que Surja,Youtuber,n/a,0,@LibertadSurja
Melisa D. Ruiz,Twitero,HSM,0,@MelisaDRuiz
Wall Street Wolverine,Youtuber,n/a,0,@wallstwolverine
