Nombre,Ocupación,Afiliación,Izda,Twitter
Unidas Podemos,Partido Político,Podemos,1,@PODEMOS
PSOE,Partido Político,PSOE,1,@PSOE
Izquierda Unida,Partido Político,IU,1,@IzquierdaUnida
Anticapitalistas,Partido Político,Anticapitalistas,1,@anticapi
Santuario Animal Almas veganas,Asociación,Santuario Animal Almas veganas,1,@AlmasVeganas
Pedro Sánchez,Político,PSOE,1,@sanchezcastejon
Carmen Calvo,Político,PSOE,1,@carmencalvo_
Josep Borrell,Político,PSOE,1,@JosepBorrellF
Pablo Iglesias,Político,Podemos,1,@PabloIglesias
Irene Montero,Político,Podemos,1,@IreneMontero
Juan Ramón Rallo,Economista,n/a,0,@juanrallo
Daniel Lacalle,Economista,n/a,0,@dlacalle
Paco Marhuenda,Periodista,La Razón,0,@pacomarhuenda
Eduardo Inda,Periodista,OKDiario,0,@eduardoinda
Álvaro Ojeda,Periodista,OKDiario,0,@alvaroojeda80
Cake Minuesa,Presentador,n/a,0,@cakealatake
Libertad y lo que Surja,Youtuber,n/a,0,@LibertadSurja
Melisa D. Ruiz,Twitero,HSM,0,@MelisaDRuiz
Wall Street Wolverine,Youtuber,n/a,0,@wallstwolverine
